,iteration,avg_loss,epoch,accuracy
0,4,1.0972974300384521,0,
1,9,1.0795271158218385,0,
2,14,1.1064930200576781,0,
3,19,1.1078060388565063,0,
4,24,1.078203511238098,0,
5,29,1.1093586921691894,0,
6,30,,0,0.3103448275862069
7,34,1.0553437232971192,1,
8,39,1.1183748483657836,1,
9,44,1.128976035118103,1,
10,49,1.1026991605758667,1,
11,54,1.0866888761520386,1,
12,59,1.089266800880432,1,
13,60,,1,0.3103448275862069
14,64,1.095779299736023,2,
15,69,1.0870543479919434,2,
16,74,1.0595225811004638,2,
17,79,1.126875352859497,2,
18,84,1.094206118583679,2,
19,89,1.0641001224517823,2,
20,90,,2,0.3103448275862069
21,94,1.0703177213668824,3,
22,99,1.0925456285476685,3,
23,104,1.0146398305892945,3,
24,109,1.0746252536773682,3,
25,114,1.1736995458602906,3,
26,119,1.115654706954956,3,
27,120,,3,0.3103448275862069
28,124,1.0143394112586974,4,
29,129,1.0512566089630127,4,
30,134,1.0698291540145874,4,
31,139,1.04149489402771,4,
32,144,1.0410783290863037,4,
33,149,1.1213479518890381,4,
34,150,,4,0.41379310344827586
35,154,0.9841292977333069,5,
36,159,1.0001076459884644,5,
37,164,1.076758348941803,5,
38,169,0.9329951763153076,5,
39,174,0.9742876291275024,5,
40,179,1.093243908882141,5,
41,180,,5,0.5517241379310345
42,184,0.9318493008613586,6,
43,189,1.0366525769233703,6,
44,194,0.919901704788208,6,
45,199,0.955665671825409,6,
46,204,0.8776180744171143,6,
47,209,0.7919557690620422,6,
48,210,,6,0.6206896551724138
49,214,0.8884564638137817,7,
50,219,0.8619469165802002,7,
51,224,0.9613243103027344,7,
52,229,0.8672281265258789,7,
53,234,0.7796886801719666,7,
54,239,0.7995813190937042,7,
55,240,,7,0.6896551724137931
56,244,0.7914913535118103,8,
57,249,0.90821293592453,8,
58,254,0.6548588871955872,8,
59,259,1.4072859168052674,8,
60,264,0.7894015192985535,8,
61,269,1.1986988663673401,8,
62,270,,8,0.3448275862068966
63,274,0.8644057273864746,9,
64,279,0.8385746479034424,9,
65,284,0.6446410715579987,9,
66,289,0.689359164237976,9,
67,294,0.5926698744297028,9,
68,299,0.5349815653637051,9,
69,300,,9,0.6551724137931034
70,304,0.4326165676116943,10,
71,309,0.8039914786815643,10,
72,314,0.5956004440784455,10,
73,319,0.4803422451019287,10,
74,324,0.586698567867279,10,
75,329,0.5250343084335327,10,
76,330,,10,0.6896551724137931
77,334,0.5385290861129761,11,
78,339,0.4032296150922775,11,
79,344,0.6391654253005982,11,
80,349,0.559507206082344,11,
81,354,0.5008107185363769,11,
82,359,0.40573929697275163,11,
83,360,,11,0.7586206896551724
84,364,0.4011209666728973,12,
85,369,0.5058003962039948,12,
86,374,0.4216375209391117,12,
87,379,0.5820375990122557,12,
88,384,0.3545724630355835,12,
89,389,0.693460202217102,12,
90,390,,12,0.8275862068965517
91,394,0.6733183845877647,13,
92,399,0.7105519086122513,13,
93,404,0.704756224155426,13,
94,409,0.44650057554244993,13,
95,414,0.7143739104270935,13,
96,419,0.42311577796936034,13,
97,420,,13,0.7586206896551724
98,424,0.6498308658599854,14,
99,429,0.43377958834171293,14,
100,434,0.4458008587360382,14,
101,439,0.429337614774704,14,
102,444,0.2056509293615818,14,
103,449,0.30103098005056383,14,
104,450,,14,0.8275862068965517
105,454,0.19744334602728486,15,
106,459,0.3958932187408209,15,
107,464,0.22515172697603703,15,
108,469,0.33254228085279464,15,
109,474,0.2764789551496506,15,
110,479,0.591301928460598,15,
111,480,,15,0.7931034482758621
112,484,0.3364943519234657,16,
113,489,0.5565512195229531,16,
114,494,0.4079464733600616,16,
115,499,0.5915972650051117,16,
116,504,0.5229244440793991,16,
117,509,0.4531875133514404,16,
118,510,,16,0.7241379310344828
119,514,0.3051046311855316,17,
120,519,0.26405682414770126,17,
121,524,0.4306773453950882,17,
122,529,0.28674712479114534,17,
123,534,0.30527507662773135,17,
124,539,0.33588712066411974,17,
125,540,,17,0.7931034482758621
126,544,0.2596037544310093,18,
127,549,0.2829327568411827,18,
128,554,0.18571141362190247,18,
129,559,0.3568945124745369,18,
130,564,0.2889998212456703,18,
131,569,0.22822497580200435,18,
132,570,,18,0.8620689655172413
133,574,0.11736873164772987,19,
134,579,0.33824222087860106,19,
135,584,0.49155012374394574,19,
136,589,0.32377832010388374,19,
137,594,0.19573202580213547,19,
138,599,0.32257266379892824,19,
139,600,,19,0.8620689655172413
140,604,0.35305811613798144,20,
141,609,0.26666632294654846,20,
142,614,0.23432230651378633,20,
143,619,0.09313499741256237,20,
144,624,0.10306608360260724,20,
145,629,0.11538794487714768,20,
146,630,,20,0.896551724137931
147,634,0.11155033139511943,21,
148,639,0.09532068744301796,21,
149,644,0.2702740782806359,21,
150,649,0.36189887672662735,21,
151,654,0.33239466547966,21,
152,659,0.7103313311934472,21,
153,660,,21,0.896551724137931
154,664,0.6736298173666,22,
155,669,0.7441367313265801,22,
156,674,0.5477466523647309,22,
157,679,0.7267783463001252,22,
158,684,0.34811852872371674,22,
159,689,0.42122502326965333,22,
160,690,,22,0.7931034482758621
161,694,0.18813341185450555,23,
162,699,0.24117986261844634,23,
163,704,0.5642095357179642,23,
164,709,0.2117997296154499,23,
165,714,0.34574344754219055,23,
166,719,0.38443897378165276,23,
167,720,,23,0.8275862068965517
168,724,0.36125756800174713,24,
169,729,0.21987268775701524,24,
170,734,0.13449493944644927,24,
171,739,0.21642833650112153,24,
172,744,0.13219061084091663,24,
173,749,0.25048598647117615,24,
174,750,,24,0.8620689655172413
175,754,0.4275757297873497,25,
176,759,0.1387962218374014,25,
177,764,0.3871001198887825,25,
178,769,0.14760515168309213,25,
179,774,0.22035058699548243,25,
180,779,0.17820104621350766,25,
181,780,,25,0.7241379310344828
182,784,0.19205963909626006,26,
183,789,0.1860392987728119,26,
184,794,0.3040460098069161,26,
185,799,0.07927571240579709,26,
186,804,0.15349386930465697,26,
187,809,0.16431546732783317,26,
188,810,,26,0.8620689655172413
189,814,0.1141406484413892,27,
190,819,0.1850023101986153,27,
191,824,0.4255652935127728,27,
192,829,0.23036858048290015,27,
193,834,0.12174146641045809,27,
194,839,0.08465524613857127,27,
195,840,,27,0.8620689655172413
196,844,0.09470736915245652,28,
197,849,0.07068044003099203,28,
198,854,0.06600813027471304,28,
199,859,0.3075199980288744,28,
200,864,0.051627603359520435,28,
201,869,0.06043574828654528,28,
202,870,,28,0.7931034482758621
203,874,0.04286664500832558,29,
204,879,0.08217972703278065,29,
205,884,0.18296998348087073,29,
206,889,0.053807176870759574,29,
207,894,0.0890176142565906,29,
208,899,0.024720632890239357,29,
209,900,,29,0.896551724137931
210,904,0.16455779884709046,30,
211,909,0.04767221900401637,30,
212,914,0.02222557496279478,30,
213,919,0.018812002753838895,30,
214,924,0.03671275726519525,30,
215,929,0.027030567801557482,30,
216,930,,30,0.8620689655172413
217,934,0.03431201791390777,31,
218,939,0.026531026675365867,31,
219,944,0.048831416253233326,31,
220,949,0.005777470629254822,31,
221,954,0.001594189862953499,31,
222,959,0.02789813242852688,31,
223,960,,31,0.8620689655172413
224,964,0.006345987333770608,32,
225,969,0.013066036137752235,32,
226,974,0.00352272555755917,32,
227,979,0.013401587645057588,32,
228,984,0.00036011064803460614,32,
229,989,0.0018453155651513952,32,
230,990,,32,0.896551724137931
231,994,0.008295862100931117,33,
232,999,0.0012136815348640084,33,
233,1004,0.001954292151935988,33,
234,1009,0.042211871445761065,33,
235,1014,0.0034544968511909246,33,
236,1019,0.003563481899436738,33,
237,1020,,33,0.8275862068965517
238,1024,0.034415121909114534,34,
239,1029,0.010676483053248375,34,
240,1034,0.008347678161226214,34,
241,1039,0.00255752959928941,34,
242,1044,0.003028094372712076,34,
243,1049,0.002079891685571056,34,
244,1050,,34,0.896551724137931
245,1054,0.0006801061812439002,35,
246,1059,0.0058300850800151235,35,
247,1064,0.0019952645343437325,35,
248,1069,0.0004705358369392343,35,
249,1074,0.0030042307684198023,35,
250,1079,0.004987840676812993,35,
251,1080,,35,0.896551724137931
252,1084,0.0035998253457364625,36,
253,1089,0.0008735478793823858,36,
254,1094,0.0008664188557304442,36,
255,1099,0.0016782861552201212,36,
256,1104,0.0008827468642266467,36,
257,1109,0.0013306031041793176,36,
258,1110,,36,0.896551724137931
259,1114,0.00011868283545481972,37,
260,1119,0.00036455274384934456,37,
261,1124,0.0019669404486194254,37,
262,1129,0.0013766798074357212,37,
263,1134,0.00036609908543141503,37,
264,1139,0.0029627758867718512,37,
265,1140,,37,0.896551724137931
266,1144,0.0014439248199778377,38,
267,1149,0.0027760833050706423,38,
268,1154,0.0008862373826559633,38,
269,1159,0.0006641058615059591,38,
270,1164,7.885794639150845e-05,38,
271,1169,0.0006659786066848028,38,
272,1170,,38,0.896551724137931
273,1174,9.330286375188734e-05,39,
274,1179,0.0005237549674347974,39,
275,1184,0.00042132907547056677,39,
276,1189,0.00027255480167696076,39,
277,1194,0.0033410401083528996,39,
278,1199,0.0008505823090672493,39,
279,1200,,39,0.896551724137931
280,1204,0.0008872416183294263,40,
281,1209,0.0003956091008149087,40,
282,1214,0.0026090920819115127,40,
283,1219,0.0003825852912996197,40,
284,1224,0.00022931659796086024,40,
285,1229,0.0003472252290521283,40,
286,1230,,40,0.896551724137931
287,1234,0.000570660266384948,41,
288,1239,0.0017260447923035827,41,
289,1244,0.0001801031241484452,41,
290,1249,0.0006267135719099315,41,
291,1254,0.0005100533617223846,41,
292,1259,0.0007245965905894991,41,
293,1260,,41,0.896551724137931
294,1264,0.0005033389643358532,42,
295,1269,2.8042602389177772e-05,42,
296,1274,0.0005342851647583303,42,
297,1279,0.0020436483464436606,42,
298,1284,0.000582190474960953,42,
299,1289,0.00025392490642843767,42,
300,1290,,42,0.896551724137931
301,1294,0.00022666454042337137,43,
302,1299,0.0018316158260859084,43,
303,1304,0.00027524672341314724,43,
304,1309,0.0004943691332300659,43,
305,1314,0.0006610057142097503,43,
306,1319,0.00019000908459929633,43,
307,1320,,43,0.896551724137931
308,1324,0.00042343225140939467,44,
309,1329,0.0014581364033801948,44,
310,1334,0.0003014548830833519,44,
311,1339,0.0005070014050943428,44,
312,1344,0.00027076604455942286,44,
313,1349,0.0003602793422032846,44,
314,1350,,44,0.896551724137931
315,1354,0.00033469755726400763,45,
316,1359,0.0004011793303334343,45,
317,1364,0.00034782800794346257,45,
318,1369,0.00021324335830286145,45,
319,1374,0.0014940393906726968,45,
320,1379,0.00025890755859876436,45,
321,1380,,45,0.896551724137931
322,1384,0.00024143605114659294,46,
323,1389,0.0005024517173296772,46,
324,1394,0.00037139395153644726,46,
325,1399,0.00023261787353021646,46,
326,1404,0.00129104884708795,46,
327,1409,0.0002757243833912071,46,
328,1410,,46,0.896551724137931
329,1414,0.00032961001779767684,47,
330,1419,0.0001905548284184988,47,
331,1424,0.0002093162584969832,47,
332,1429,0.0005417828637291677,47,
333,1434,0.0012371291260933504,47,
334,1439,0.00016276129799734916,47,
335,1440,,47,0.896551724137931
336,1444,0.00011921119430411409,48,
337,1449,0.0001815119884440719,48,
338,1454,0.00023842300288379192,48,
339,1459,0.0013813652396493126,48,
340,1464,0.00045275981901795606,48,
341,1469,0.00012839570372307206,48,
342,1470,,48,0.896551724137931
343,1474,0.00016387524083256723,49,
344,1479,0.0004271964844519971,49,
345,1484,0.00020763058273587376,49,
346,1489,0.0004075332796674047,49,
347,1494,0.00021568142246906064,49,
348,1499,0.0009538699155200447,49,
349,1500,,49,0.896551724137931
